capability_id,capability,domain,process,source_requirement,source_spec,expected_role,expected_company,expected_bu,expected_permission,backend_route,backend_state,frontend_route,frontend_component,frontend_repo_state,nav_entry,discoverable,deployed,runtime_visible,runtime_functional,persistence,refresh,relogin,negative_auth,e2e,screenshot,network_evidence,existing_finding,primary_product_status,secondary_gaps,severity,root_cause,owner_decision,remediation_dependency,proposed_remediation_group,evidence_ref
CAP-SES-01,Iniciar sesión / sesión con token,sesion,—,docs/02 §3.1,GA-REM-003,todos,efectiva,—,—,POST /auth/login,IMPLEMENTED,/login,LoginPage,IMPLEMENTED,—,sí,PRESENT,sí (renderizado),BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,existente (E2E-01-01),AUDIT_001,probes 401 sin sesión,—,BLOCKED_AUTH,riesgo R-44 (reconciliación de permisos) no verificado,—,—,—,—,G0-verificacion-auth,EVIDENCE §9
CAP-SES-02,Cambio de contraseña,sesion,—,GA-REM-012,GA-REM-012,todos,efectiva,—,—,POST /users/{id}/password,IMPLEMENTED,/profile,ProfilePage,IMPLEMENTED,menú perfil,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,sonda 2026-09-04 (405 ruta existe),—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,FINGERPRINT §2
CAP-SES-03,Perfil de usuario (ver datos),sesion,—,docs/02 §3.1.4,GA-REM-011,todos,efectiva,—,—,GET /me,IMPLEMENTED,/profile,ProfilePage,IMPLEMENTED,menú perfil,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,401 /me,"R-66 (P3, cerrado)",BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §9
CAP-SES-04,Contexto de empresa visible,multiempresa,—,OD-11,docs/02 §3.1.4,todos,efectiva,—,—,GET /me (campos),IMPLEMENTED,Header + badges,Header / Dashboard / Profile,IMPLEMENTED,—,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,company_name en código y bundle,—,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,EVIDENCE §10
CAP-SES-05,Selector de empresa (actor global),multiempresa,—,docs/02 §3.1.4 («futuro»),OD-14 + PHASE_9_PREFLIGHT,Super Admin,global,—,masters:read,GET /masters/companies + POST /switch-company,IMPLEMENTED,Header dropdown,company.store.ts + Header.tsx,IMPLEMENTED,header,solo en cabecera; condicionado,PRESENT (ambos bundles),sí (estático),BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,sí (super_admin),—,AUDIT_001 (pre-login),/switch-company 405 (POST),R-48/R-54 (cerrados) · R-127/OD-18,IMPLEMENTED_BUT_NOT_EXPOSED,render solo si company_name presente; sólo is_super_admin (por diseño OD-14); fetch con catch silencioso; verificación autenticada bloqueada,P2,exposición incompleta del selector,BU-D07 pendiente (comercial vs operativo),fase 9 T-040-23 / WAVE E,G4-exposicion-navegacion,EVIDENCE §10
CAP-ADM-01,Catálogo de empresas (listado),multiempresa,—,docs/02 §3.2.1,OD-18 + R-127,admin,control global,—,masters:read,GET /masters/companies,IMPLEMENTED,/masters/companies,MasterListPage,IMPLEMENTED,maestros,sí,PRESENT,sí,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,401 desplegado,R-127 cerrado,BLOCKED_AUTH,—,—,—,—,—,G0-verificacion-auth,FINGERPRINT §4
CAP-ADM-02,Administración de empresas (crear/editar metadatos),multiempresa,—,docs/02 §3.2.1,R-124/AOD-06 + OD-18.b,admin,control global,—,masters:update,PUT /masters/companies/{id},PARTIAL (escritura sap_config DEFERRED),/masters/companies,MasterListPage,PARTIAL,maestros,parcial,PRESENT,parcial,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,BLOCKED_AUTH,—,—,—,R-124 · R-127.b DEFERRED,OWNER_DECISION_REQUIRED,propiedad SAP vs local sin decidir; exposición de sap_config decidida (OD-18),P1,expectativa no definida,AOD-06 (R-124),WAVE D,G1-multiempresa,EVIDENCE §11
CAP-ADM-03,Unidades por empresa — habilitar/deshabilitar,unidades,—,GA-REM-040 AC-H04,T-040-21 + OD-16.b,Administrador de Accesos / Super Admin,efectiva,las 4,business_units:read+update,GET /business-units · PATCH …/enable|disable,"IMPLEMENTED (fase 7, desplegado 401)",—,—,MISSING (0 referencias),—,no,ABSENT,no,no (no existe UI),—,—,—,backend sí,—,—,401 desplegado,fase 9 FROZEN,FRONTEND_MISSING,fase 9 congelada (autorización del propietario); backend completo,P1,frontend nunca construido,autorización fase 9,fase 9,G2-admin-empresa-BU,EVIDENCE §11
CAP-ADM-04,Unidades por usuario — conceder/revocar,unidades,—,GA-REM-040 AC-H05,T-040-22 + OD-15 + R-129,Administrador de Accesos,efectiva,las 4,business_units:create+delete,GET …/grant-candidates · POST/DELETE /users/{id}/business-units,IMPLEMENTED (desplegado 401),—,—,MISSING (0 referencias),—,no,ABSENT,no,no,—,—,—,backend sí,—,—,401 desplegado,R-129 cerrado; fase 9 FROZEN,FRONTEND_MISSING,interfaz podría usar R-129 sin users:read,P1,frontend nunca construido,autorización fase 9,fase 9,G3-admin-usuario-BU,EVIDENCE §11
CAP-ADM-05,Bandeja de clasificación pendiente,unidades,—,GA-REM-040 AC-H07,T-040-24 + OD-10.c,Administrador de Accesos,efectiva,pendiente,masters:update+corrections:correct,GET /operations/pending-classification,IMPLEMENTED (desplegado 401),—,—,MISSING,—,no,ABSENT,no,no,—,—,—,backend sí,—,—,401 desplegado,fase 9 FROZEN,FRONTEND_MISSING,condicionada al diseño de fase 9,P2,frontend nunca construido,autorización fase 9,fase 9,G3-admin-usuario-BU,EVIDENCE §11
